track_id,input1_latitude,input1_longitude,input2_latitude,input2_longitude,input3_latitude,input3_longitude,input4_latitude,input4_longitude,target_latitude,target_longitude,prediction_latitude,prediction_longitude,5_percentile_latitude,5_percentile_longitude,95_percentile_latitude,95_percentile_longitude
1,-0.8999999761581421,-6.400000095367432,-1.0,-7.400000095367432,-1.100000023841858,-7.900000095367432,-1.2999999523162842,-7.5,-1.2999999523162842,-7.400000095367432,-1.4265189170837402,-7.9367218017578125,-1.579756736755371,-8.44214916229248,-1.2527393102645874,-7.334222793579102
1,-1.0,-7.400000095367432,-1.100000023841858,-7.900000095367432,-1.2999999523162842,-7.5,-1.2999999523162842,-7.400000095367432,-1.2999999523162842,-7.199999809265137,-1.4919533729553223,-7.230244159698486,-1.647772192955017,-7.755407333374023,-1.3037642240524292,-6.666784763336182
1,-1.100000023841858,-7.900000095367432,-1.2999999523162842,-7.5,-1.2999999523162842,-7.400000095367432,-1.2999999523162842,-7.199999809265137,-1.2999999523162842,-7.0,-1.4022724628448486,-7.1340227127075195,-1.5678844451904297,-7.682101249694824,-1.2094841003417969,-6.5992937088012695
1,-1.2999999523162842,-7.5,-1.2999999523162842,-7.400000095367432,-1.2999999523162842,-7.199999809265137,-1.2999999523162842,-7.0,-1.399999976158142,-6.800000190734863,-1.3470208644866943,-6.905702114105225,-1.5039279460906982,-7.432401657104492,-1.1479172706604004,-6.371386528015137
1,-1.2999999523162842,-7.400000095367432,-1.2999999523162842,-7.199999809265137,-1.2999999523162842,-7.0,-1.399999976158142,-6.800000190734863,-1.5,-6.400000095367432,-1.4434939622879028,-6.7015275955200195,-1.6009901762008667,-7.219357490539551,-1.2429343461990356,-6.178686141967773
1,-1.2999999523162842,-7.199999809265137,-1.2999999523162842,-7.0,-1.399999976158142,-6.800000190734863,-1.5,-6.400000095367432,-1.5,-6.0,-1.601628065109253,-6.316281795501709,-1.7604361772537231,-6.819389820098877,-1.396449089050293,-5.80372428894043
1,-1.2999999523162842,-7.0,-1.399999976158142,-6.800000190734863,-1.5,-6.400000095367432,-1.5,-6.0,-1.600000023841858,-5.599999904632568,-1.6334424018859863,-5.807196140289307,-1.794108271598816,-6.286012649536133,-1.4234331846237183,-5.3090410232543945
1,-1.399999976158142,-6.800000190734863,-1.5,-6.400000095367432,-1.5,-6.0,-1.600000023841858,-5.599999904632568,-1.600000023841858,-5.199999809265137,-1.6717925071716309,-5.408197402954102,-1.8400005102157593,-5.864045143127441,-1.4608186483383179,-4.918994426727295
1,-1.5,-6.400000095367432,-1.5,-6.0,-1.600000023841858,-5.599999904632568,-1.600000023841858,-5.199999809265137,-1.7000000476837158,-4.800000190734863,-1.7073131799697876,-5.030282020568848,-1.8809638023376465,-5.45353889465332,-1.4880948066711426,-4.548026084899902
1,-1.5,-6.0,-1.600000023841858,-5.599999904632568,-1.600000023841858,-5.199999809265137,-1.7000000476837158,-4.800000190734863,-1.600000023841858,-4.300000190734863,-1.7726037502288818,-4.64908504486084,-1.9488295316696167,-5.0592875480651855,-1.5535829067230225,-4.179465293884277
1,-1.600000023841858,-5.599999904632568,-1.600000023841858,-5.199999809265137,-1.7000000476837158,-4.800000190734863,-1.600000023841858,-4.300000190734863,-1.2999999523162842,-3.9000000953674316,-1.7123264074325562,-4.165035724639893,-1.8888956308364868,-4.561001777648926,-1.4859583377838135,-3.7121009826660156
1,-1.600000023841858,-5.199999809265137,-1.7000000476837158,-4.800000190734863,-1.600000023841858,-4.300000190734863,-1.2999999523162842,-3.9000000953674316,-1.0,-3.5,-1.3293496370315552,-3.708081007003784,-1.509734034538269,-4.085914134979248,-1.1047983169555664,-3.2831156253814697
1,-1.7000000476837158,-4.800000190734863,-1.600000023841858,-4.300000190734863,-1.2999999523162842,-3.9000000953674316,-1.0,-3.5,-0.5,-3.200000047683716,-0.8648152351379395,-3.347865581512451,-1.0431642532348633,-3.694988250732422,-0.6501106023788452,-2.9584333896636963
1,-1.600000023841858,-4.300000190734863,-1.2999999523162842,-3.9000000953674316,-1.0,-3.5,-0.5,-3.200000047683716,0.10000000149011612,-3.700000047683716,-0.3178004026412964,-3.0428457260131836,-0.4821585416793823,-3.382915735244751,-0.12236891686916351,-2.6648812294006348
1,-1.2999999523162842,-3.9000000953674316,-1.0,-3.5,-0.5,-3.200000047683716,0.10000000149011612,-3.700000047683716,0.699999988079071,-4.400000095367432,0.38714927434921265,-3.553906202316284,0.24301938712596893,-3.8685755729675293,0.5496438145637512,-3.225090980529785
1,-1.0,-3.5,-0.5,-3.200000047683716,0.10000000149011612,-3.700000047683716,0.699999988079071,-4.400000095367432,1.2999999523162842,-4.900000095367432,1.0869956016540527,-4.723435401916504,0.9597489237785339,-5.040842533111572,1.2218379974365234,-4.365936756134033
1,-0.5,-3.200000047683716,0.10000000149011612,-3.700000047683716,0.699999988079071,-4.400000095367432,1.2999999523162842,-4.900000095367432,2.0,-5.599999904632568,1.7032605409622192,-5.504331588745117,1.585097074508667,-5.851172924041748,1.8312411308288574,-5.1204833984375
1,0.10000000149011612,-3.700000047683716,0.699999988079071,-4.400000095367432,1.2999999523162842,-4.900000095367432,2.0,-5.599999904632568,3.0,-5.699999809265137,2.3780534267425537,-6.101919651031494,2.253169536590576,-6.49283504486084,2.520010232925415,-5.634605407714844
1,0.699999988079071,-4.400000095367432,1.2999999523162842,-4.900000095367432,2.0,-5.599999904632568,3.0,-5.699999809265137,4.0,-5.5,3.379025936126709,-6.313941478729248,3.2249810695648193,-6.705865383148193,3.539869785308838,-5.8242692947387695
1,1.2999999523162842,-4.900000095367432,2.0,-5.599999904632568,3.0,-5.699999809265137,4.0,-5.5,5.0,-5.199999809265137,4.479935169219971,-5.75413703918457,4.297307968139648,-6.184967517852783,4.679165363311768,-5.222019672393799
1,2.0,-5.599999904632568,3.0,-5.699999809265137,4.0,-5.5,5.0,-5.199999809265137,5.699999809265137,-4.800000190734863,5.493658065795898,-5.211308479309082,5.251979827880859,-5.637270927429199,5.754852294921875,-4.70856237411499
1,3.0,-5.699999809265137,4.0,-5.5,5.0,-5.199999809265137,5.699999809265137,-4.800000190734863,6.5,-4.599999904632568,6.145766735076904,-4.732429027557373,5.853858470916748,-5.144832611083984,6.448115825653076,-4.2531418800354
1,4.0,-5.5,5.0,-5.199999809265137,5.699999809265137,-4.800000190734863,6.5,-4.599999904632568,7.300000190734863,-4.699999809265137,6.827146053314209,-4.464908599853516,6.508842945098877,-4.863365650177002,7.1560821533203125,-4.0107550621032715
1,5.0,-5.199999809265137,5.699999809265137,-4.800000190734863,6.5,-4.599999904632568,7.300000190734863,-4.699999809265137,8.100000381469727,-4.699999809265137,7.598791599273682,-4.665362358093262,7.292667865753174,-5.050222396850586,7.93041467666626,-4.229922294616699
